#
# The 1990 Zip Code by State file is comma separated values, ASCII text, one record per line. 
# The field/record layout is as follows:
#
#      Field 1 - State Fips Code
#      Field 2 - 5-digit Zipcode
#      Field 3 - State Abbreviation
#      Field 4 - Zipcode Name
#      Field 5 - Longitude in Decimal Degrees (West is assumed, no minus sign)
#      Field 6 - Latitude in Decimal Degrees (North is assumed, no plus sign)
#      Field 7 - 1990 Population (100%)
#      Field 8 - Allocation Factor (decimal portion of state within zipcode)
#
# For complete details see:
#    http://landview.census.gov/geo/www/gazetteer/places.html
#
"17","61530","IL","EUREKA",89.270561,40.715249,5688,0.000498 
"17","61606","IL","PEORIA",89.612189,40.698926,10299,0.000901 
"17","62081","IL","ROCKBRIDGE",90.255818,39.283146,718,0.000063 
"17","62288","IL","STEELEVILLE",89.666458,38.005713,2951,0.000258 
"17","62293","IL","TRENTON",89.644696,38.619102,5574,0.000488 
"17","62433","IL","HUTSONVILLE",87.669455,39.106357,1039,0.000091 
"17","62513","IL","BLUE MOUND",89.113558,39.697813,1488,0.00013 
"17","62573","IL","HEMAN",89.068316,39.939737,1780,0.000156 
"17","62655","IL","KILBOURNE",90.004279,40.158696,633,0.000055 
"17","62664","IL","LUTHER",89.699256,40.199938,2968,0.00026 
"17","62862","IL","MILL SHOALS",88.333817,38.244675,412,0.000036 
"17","62992","IL","ULLIN",89.191137,37.270385,787,0.000069 
"18","46058","IN","MULBERRY",86.661261,40.343299,1938,0.00035 
"18","46539","IN","MENTONE",86.029918,41.161494,2163,0.00039 
"18","46556","IN","SAINT MARYS",86.242893,41.70057,6903,0.001245 
"18","46784","IN","ROME CITY",85.374303,41.484907,3040,0.000548 
"18","47030","IN","METAMORA",85.15044,39.428775,1085,0.000196 
"18","47229","IN","CROTHERSVILLE",85.846965,38.806672,3865,0.000697 
"18","47619","IN","LYNNVILLE",87.293486,38.196085,1329,0.00024 
"19","50101","IA","GALT",93.603512,42.691187,57,0.000021 
"19","50132","IA","KAMRAR",93.727941,42.394517,246,0.000089 
"19","50139","IA","LACONA",93.383801,41.198832,700,0.000252 
"19","50452","IA","LATIMER",93.351798,42.759783,966,0.000348 
"19","50501","IA","FORT DODGE",94.180737,42.508817,27632,0.009951 
"19","50635","IA","GLADBROOK",92.714112,42.177432,1268,0.000457 
"19","50672","IA","STEAMBOAT ROCK",93.06291,42.417841,650,0.000234 
"19","50830","IA","AFTON",94.194044,41.040146,1450,0.000522 
"19","50833","IA","BEDFORD",94.732448,40.66829,2608,0.000939 
"19","51019","IA","DANBURY",95.726259,42.269337,906,0.000326 
"19","51557","IA","MONDAMIN",96.007204,41.708876,793,0.000286 
"19","52133","IA","CASTALIA",91.662904,43.161179,1103,0.000397 
"19","52322","IA","OXFORD",91.772418,41.650687,3141,0.001131 
